"length","weight","sex","maturity"
33,256.9,"M","3"
20,62.2,"F","3"
29,141.7,"M","3"
9,4.6,"F","1"
25,121.5,"M","4"
36,418.7,"M","3"
24,103.7,"F","3"
38,398.7,"F","1"
20,73,"M","3"
18,43,"M","3"
38,296.7,"F","2"
8,4,"M","2"
31,221.3,"F","4"
36,361.9,"M","4"
31,218.8,"F","4"
32,275.1,"F","4"
24,95.2,"M","1"
36,349.5,"F","3"
27,128.7,"M","3"
8,4.6,"F","4"
41,498.1,"F","3"
36,316.7,"M","3"
31,201.1,"M","1"
26,111.6,"F","4"
31,194,"F","4"
26,123.3,"M","1"
34,248,"F","4"
17,28.3,"M","3"
32,280.1,"F","2"
31,206.3,"F","2"
25,105.4,"M","3"
20,55.6,"M","4"
15,27,"M","4"
40,443.3,"F","2"
40,386.4,"M","1"
17,32.9,"M","3"
25,128.7,"M","2"
20,66.2,"M","1"
29,149,"F","3"
29,223.6,"M","1"
33,279.4,"M","4"
40,450,"F","2"
33,263,"M","3"
15,27,"M","4"
27,133,"F","1"
32,186.1,"F","1"
33,293,"F","1"
38,514.6,"M","3"
26,143.1,"F","4"
34,204.5,"F","2"
12,11.6,"F","4"
21,82.5,"M","3"
24,99.5,"M","2"
30,201,"F","1"
37,432.3,"M","3"
33,201.3,"F","4"
25,104.1,"M","3"
38,455,"M","1"
39,445.5,"F","1"
29,146.4,"F","4"
14,21.1,"M","3"
27,108,"M","3"
27,121.8,"F","2"
21,63.1,"M","3"
26,116.7,"M","3"
23,87.2,"M","2"
37,390.2,"M","4"
26,159.4,"F","3"
33,257,"M","4"
33,286.8,"M","4"
26,145.9,"M","1"
38,371.5,"F","3"
22,76.9,"F","2"
36,394,"M","2"
31,233.7,"M","4"
39,354,"F","1"
24,128.3,"F","4"
29,167,"M","4"
22,72.3,"M","4"
26,111.4,"F","3"
28,133.5,"F","1"
25,125,"M","2"
35,243.7,"F","1"
43,509.6,"F","3"
28,160.7,"M","2"
34,247.1,"M","1"
36,351.2,"F","2"
18,42.2,"M","3"
36,331.7,"M","3"
23,102.8,"F","2"
34,296,"M","1"
32,224.8,"M","4"
19,42.7,"F","3"
35,325.7,"M","4"
9,5.3,"M","4"
34,279.3,"M","2"
38,428.5,"M","4"
19,47.6,"M","2"
22,72.3,"M","3"
28,156.7,"F","2"
21,65.9,"F","3"
19,53.2,"F","4"
27,159.9,"F","4"
16,35.3,"M","3"
33,253.4,"F","4"
35,344.2,"F","4"
38,346.4,"M","3"
28,115.9,"M","4"
13,16.5,"F","1"
14,20.6,"F","1"
24,96.6,"F","4"
33,250.5,"F","2"
13,17.7,"M","4"
32,219.3,"M","3"
22,82.6,"M","4"
34,265.6,"F","3"
39,396.5,"F","1"
33,287.2,"F","3"
9,5.3,"F","1"
25,106.7,"F","2"
25,123,"F","3"
32,222,"M","2"
26,142.8,"M","1"
31,210.6,"F","3"
22,83.5,"M","1"
34,314,"M","1"
17,43.3,"M","4"
8,4.5,"M","4"
27,136.9,"F","1"
38,500.1,"M","3"
11,10.3,"F","1"
34,272.9,"F","1"
21,73.1,"M","1"
30,168.3,"M","3"
28,149.7,"F","4"
25,101.2,"F","4"
39,379.8,"M","2"
23,81.6,"M","2"
20,54.5,"F","1"
23,77.4,"M","2"
32,211,"F","4"
42,561.6,"M","1"
42,559.6,"F","4"
42,510.7,"M","4"
35,299.2,"M","2"
31,207.3,"M","4"
28,178.8,"M","2"
37,284.9,"M","3"
27,116.2,"F","3"
16,26.7,"F","4"
32,267,"M","2"
29,189.2,"M","1"
38,339.1,"M","4"
19,48.5,"M","3"
33,264.9,"F","4"
17,34.1,"M","2"
20,78.2,"M","3"
31,207.4,"F","2"
37,350,"M","3"
24,99.3,"M","3"
31,276.4,"F","4"
33,244.9,"F","2"
25,110.5,"M","1"
33,236.5,"F","2"
17,37,"F","4"
21,65.4,"M","2"
34,255.6,"F","3"
15,21.9,"M","4"
29,142.1,"F","4"
18,41,"M","3"
34,257.2,"F","2"
30,155.6,"F","1"
34,327.4,"M","2"
17,38.1,"M","2"
24,109.3,"M","2"
37,351.4,"M","2"
32,216.9,"M","2"
26,146.6,"M","2"
29,144.8,"F","1"
31,253.2,"F","3"
16,34,"F","3"
32,196.3,"F","2"
33,253.1,"M","4"
16,39.1,"M","1"
19,58.8,"F","4"
32,190.2,"M","3"
19,48.8,"M","3"
12,13.7,"M","1"
17,36.8,"F","4"
36,302.9,"M","3"
33,258.7,"M","3"
34,295.8,"M","1"
11,12.4,"F","1"
32,273.3,"F","2"
8,3.9,"M","2"
17,39.6,"M","2"
32,262.3,"F","1"
33,234.3,"F","2"
37,365,"M","3"
34,308.3,"F","3"
20,54.3,"F","4"
37,433.3,"F","1"
30,184.7,"F","4"
33,245.5,"F","3"
30,202.9,"M","1"
21,72.4,"M","2"
28,158.7,"M","3"
35,328.3,"F","2"
28,165.2,"F","1"
26,146,"F","2"
20,54,"F","2"
30,217.2,"F","4"
37,384.9,"F","2"
18,48.7,"M","4"
36,328.5,"F","4"
29,164.5,"F","1"
40,491.6,"M","4"
35,313.6,"F","3"
15,24.4,"M","3"
31,183.8,"M","3"
29,164.7,"M","1"
38,422.5,"F","1"
31,157.8,"F","4"
35,325.8,"F","1"
14,23.6,"F","3"
28,162.8,"M","2"
39,379.4,"M","3"
27,147.8,"M","4"
40,372.2,"F","2"
40,411.4,"F","2"
25,121.2,"M","4"
40,445.8,"M","3"
37,380.2,"M","3"
24,129,"M","3"
13,16,"M","4"
21,66.2,"M","1"
15,24.3,"M","1"
22,64.4,"M","2"
25,98.6,"M","1"
33,256.8,"F","4"
23,94.8,"F","2"
23,95.9,"M","3"
20,50.6,"M","2"
37,317.4,"F","2"
32,259.7,"F","4"
26,125.5,"M","1"
19,49.3,"F","2"
33,245.3,"F","2"
36,326.2,"M","2"
24,101.8,"M","3"
32,220.5,"F","1"
28,135,"M","2"
29,167.1,"M","3"
31,227.8,"F","2"
40,404,"F","4"
33,264.9,"M","4"
40,390.8,"M","4"
25,116.8,"M","4"
29,155.4,"M","3"
42,626.9,"M","3"
27,165.2,"F","2"
19,55.8,"M","2"
36,360.4,"M","1"
41,517.2,"F","2"
30,203.5,"M","4"
31,206.8,"F","2"
35,290.1,"M","4"
28,189.1,"F","2"
31,309.4,"M","3"
31,213.7,"M","4"
34,275.4,"F","2"
22,77.9,"F","1"
35,250,"M","3"
33,269.5,"F","2"
37,389.7,"F","1"
21,59.6,"F","4"
28,164.2,"M","1"
30,201.4,"F","3"
25,84.8,"F","2"
24,102.9,"M","3"
38,365.3,"F","1"
17,45.8,"F","2"
35,292.1,"F","4"
34,228.9,"F","1"
30,161.1,"M","2"
23,70.8,"M","4"
31,206.5,"F","1"
30,253.1,"M","4"
31,203.8,"F","2"
34,277,"F","2"
34,275.8,"F","3"
28,165.7,"F","3"
22,81.6,"F","1"
29,165.7,"F","1"
16,27.7,"M","1"
18,44.7,"F","3"
16,30.1,"M","3"
14,23.4,"M","1"
23,93.8,"F","1"
23,84.8,"M","4"
17,34.8,"M","2"
35,236.3,"F","1"
8,3.4,"F","1"
26,121,"M","3"
20,51.8,"F","3"
29,173.9,"M","2"
40,383.9,"M","1"
40,422.8,"F","2"
29,160.9,"F","2"
21,70.1,"M","2"
29,169.8,"M","3"
31,183.3,"M","3"
24,96.8,"F","1"
27,153.7,"F","3"
28,168.7,"M","2"
18,46.3,"F","3"
42,487.8,"M","2"
22,86.8,"F","1"
26,138.1,"M","4"
18,44.1,"M","2"
8,3.6,"F","4"
26,150.4,"M","4"
34,280.7,"F","1"
13,20.5,"F","2"
41,541.2,"F","1"
30,200.5,"F","4"
31,184.5,"F","3"
33,270,"M","2"
36,331.2,"F","2"
34,253,"M","2"
10,6.5,"M","1"
34,238.8,"F","1"
9,6.6,"F","1"
26,146.3,"M","4"
32,268.8,"M","3"
24,89.7,"M","2"
29,192.2,"F","1"
19,48,"F","4"
22,79.8,"F","3"
19,49.3,"F","4"
35,300.4,"M","1"
36,290.2,"M","3"
16,36.3,"M","4"
32,250.5,"F","2"
34,303.9,"F","1"
31,190.2,"M","3"
28,154.7,"M","4"
22,74.5,"M","4"
38,364.4,"M","4"
25,123.9,"F","3"
22,85.4,"M","3"
30,220.3,"M","4"
25,109.6,"M","3"
35,330.1,"M","3"
37,372.2,"F","2"
26,126.1,"M","3"
19,48.7,"F","1"
38,376.6,"F","3"
12,9.2,"F","4"
29,148.4,"F","2"
25,119,"F","2"
16,28.6,"M","3"
37,373.3,"F","4"
33,226.2,"F","1"
25,116.8,"F","2"
32,230.9,"F","2"
12,13.6,"F","3"
20,55.4,"M","1"
19,60.4,"F","4"
33,261.9,"F","2"
24,101.9,"F","1"
26,140.4,"F","1"
32,214.6,"F","2"
40,356.4,"M","4"
21,75.4,"M","2"
40,532,"F","2"
41,387.8,"F","3"
36,368.1,"F","3"
38,316.5,"F","4"
21,66.7,"F","1"
36,268.2,"M","3"
26,150.9,"M","1"
22,68.1,"F","4"
29,170.2,"M","4"
22,75.6,"F","2"
28,153.7,"M","1"
30,229,"M","4"
18,39.2,"M","4"
33,263.3,"F","2"
24,125.6,"F","4"
35,273.2,"F","2"
39,405.9,"F","4"
33,255.9,"F","2"
18,42.9,"M","1"
41,576.7,"F","4"
15,28.4,"F","3"
35,295.5,"F","4"
18,41.6,"F","3"
37,352.1,"M","2"
33,220.3,"F","1"
36,347.8,"M","4"
30,191.1,"M","4"
20,53,"F","3"
29,194.1,"F","3"
23,94.9,"F","1"
23,94.9,"M","4"
39,306.8,"F","4"
25,118.5,"F","2"
30,198.4,"M","3"
34,287.5,"F","1"
23,87.4,"M","2"
33,190,"M","4"
16,32.1,"F","3"
36,342.1,"M","4"
17,25.5,"F","3"
30,184.3,"F","4"
41,496.9,"M","3"
39,495.9,"F","4"
37,333.3,"M","3"
17,36,"F","3"
10,5.7,"F","4"
37,347.3,"F","1"
37,350.6,"F","3"
31,210,"F","2"
36,363.2,"F","2"
37,269.6,"F","3"
22,76.8,"M","2"
23,92.6,"M","3"
33,251.1,"F","4"
25,92.9,"F","4"
21,58.9,"F","4"
24,91.6,"M","4"
32,281.6,"M","2"
36,270.7,"F","3"
32,282.6,"F","4"
40,402.4,"M","3"
30,180.4,"M","3"
27,151.8,"M","4"
28,133.3,"M","4"
33,240,"F","2"
27,143.7,"F","4"
23,117.2,"F","2"
11,11.3,"F","2"
22,90.7,"F","2"
27,140.4,"F","4"
25,128.9,"F","2"
35,322.3,"M","2"
25,124.7,"F","3"
37,282.6,"M","2"
34,241.9,"F","2"
41,436.4,"M","2"
17,36.9,"M","4"
27,136.1,"F","4"
35,279.4,"F","4"
42,532.9,"M","2"
22,66.1,"F","2"
41,471.4,"M","2"
30,226.1,"M","1"
11,12.4,"M","3"
40,418.8,"F","3"
28,159.6,"M","1"
27,134.9,"M","1"
26,132.7,"M","3"
10,8.9,"M","3"
34,267.8,"M","3"
30,235.4,"F","3"
38,393.7,"F","3"
34,288.6,"M","4"
29,190.9,"F","1"
28,171,"M","2"
33,254.8,"M","4"
23,99.6,"F","3"
19,54.8,"F","1"
40,469.1,"F","2"
30,219.8,"M","2"
32,205.2,"F","4"
36,328.1,"M","4"
26,169.3,"F","4"
33,289.6,"M","3"
36,302.2,"M","1"
37,343,"F","1"
39,353.4,"M","2"
35,275.6,"M","3"
30,196.3,"M","1"
30,236.3,"F","1"
13,16.8,"F","1"
31,219.3,"F","2"
41,486.4,"F","2"
39,377.8,"F","2"
30,234.4,"M","4"
39,347.9,"M","3"
34,273.4,"M","2"
28,157.3,"M","4"
41,640.3,"F","1"
12,13.7,"M","1"
28,121.6,"M","4"
28,170.2,"F","2"
16,32.8,"M","4"
43,505,"M","3"
17,34.5,"M","2"
21,76.2,"F","3"
27,167.7,"F","1"
17,32.8,"M","4"
9,8.6,"F","3"
19,55.8,"M","4"
43,543.3,"M","1"
40,411.3,"F","1"
38,454.1,"F","1"
38,353.2,"M","1"
12,12.2,"M","3"
33,216,"M","2"
23,89.6,"F","3"
29,179.2,"F","1"
22,78.6,"F","2"
32,278.2,"F","2"
33,196.5,"F","1"
28,181.1,"F","4"
17,32.7,"F","2"
37,390.1,"M","2"
35,312.1,"F","4"
39,444.1,"F","1"
35,296.5,"F","1"
33,186.8,"F","4"
29,194.1,"F","4"
24,77,"F","1"
23,95.5,"M","4"
36,334.9,"M","3"
16,30.3,"M","4"
26,125.7,"F","4"
27,118.2,"F","2"
20,60.7,"M","4"
35,301.3,"F","3"
27,142.1,"M","4"
10,6.9,"M","3"
33,210,"F","2"
11,9.6,"F","3"
15,25,"M","4"
23,80.1,"M","4"
8,4.6,"F","1"
33,234.8,"F","1"
30,193.3,"F","3"
30,214.4,"M","1"
8,4.8,"M","3"
26,130.4,"M","3"
27,140.2,"F","1"
23,104.8,"F","3"
33,212.4,"M","2"
17,42,"F","4"
17,29.3,"F","3"
31,219.8,"F","1"
25,113.7,"F","4"
26,132.1,"M","2"
28,186.2,"M","2"
14,23.8,"M","4"
27,135.1,"F","2"
14,20.2,"M","4"
14,20.4,"F","2"
25,118.4,"M","4"
39,365.3,"F","3"
29,208.2,"M","4"
30,160.3,"F","4"
33,258.1,"M","4"
17,35.1,"M","2"
31,238,"M","2"
31,197.7,"F","2"
26,104.8,"F","3"
37,354,"F","3"
27,155.8,"M","2"
35,286.8,"F","3"
27,133.8,"F","3"
19,44.5,"M","1"
11,8.4,"M","1"
12,11.7,"F","3"
22,80.2,"F","3"
16,31.5,"M","1"
29,144.9,"M","2"
29,198.6,"M","3"
40,416.3,"F","2"
35,337.8,"M","1"
31,205.9,"F","2"
13,21.4,"M","4"
29,180.4,"F","2"
33,227.8,"M","2"
23,94.8,"F","3"
11,10.4,"F","4"
22,72.7,"F","4"
36,244.3,"M","3"
29,176.1,"F","2"
30,182.7,"F","3"
16,42.6,"F","1"
21,65.2,"F","1"
38,338,"M","4"
27,144.7,"F","3"
29,188.3,"F","4"
33,220.4,"M","1"
35,267.9,"M","1"
23,90.1,"F","1"
34,318,"F","4"
23,110.2,"F","4"
13,21.2,"F","2"
25,110.1,"F","2"
30,199.4,"M","1"
30,215,"M","3"
30,211.5,"M","3"
13,19.8,"F","3"
12,13.5,"F","2"
12,11.2,"M","1"
30,184.4,"F","4"
37,341.6,"F","3"
16,32.8,"M","3"
28,152.8,"M","2"
32,226.1,"M","2"
27,151.5,"F","3"
39,441.7,"M","1"
25,119.5,"F","4"
19,46.7,"M","1"
33,239.5,"F","2"
39,398.3,"M","2"
24,109.6,"F","1"
30,186.4,"M","1"
27,142.6,"M","1"
28,163.2,"F","1"
29,195.8,"F","3"
15,28.9,"F","4"
28,148.2,"F","1"
27,127.7,"M","1"
27,121.2,"M","4"
31,222.2,"M","4"
27,131.6,"F","2"
38,362.9,"M","3"
38,398,"M","3"
23,100.9,"F","3"
32,207,"M","2"
32,245.6,"F","4"
41,407.6,"M","1"
23,88.4,"M","4"
23,100.4,"F","2"
23,93.4,"M","3"
29,141.4,"M","2"
32,204.4,"M","1"
19,50.2,"F","4"
21,63.1,"F","1"
32,222,"M","2"
33,285.1,"M","2"
27,167.9,"F","2"
28,155.8,"F","1"
19,56.3,"F","4"
32,240.6,"F","1"
24,114.6,"F","3"
19,49.3,"F","3"
26,116.7,"M","4"
23,123.7,"M","3"
34,201.5,"F","4"
31,208.8,"F","2"
26,106.4,"F","2"
34,332.2,"F","2"
33,236.7,"F","4"
20,55.8,"M","4"
38,461.9,"M","2"
27,133.1,"F","3"
29,177.3,"M","4"
31,255.8,"F","3"
33,295.4,"M","3"
31,270.3,"F","1"
42,512.5,"F","1"
22,86.2,"F","1"
39,374,"F","2"
28,169.2,"F","1"
19,50.3,"F","1"
23,79.1,"M","3"
31,191.8,"F","1"
28,156,"F","4"
14,21.4,"M","2"
35,243.6,"F","1"
21,64.6,"M","1"
21,78,"F","4"
33,249.9,"F","1"
40,564.1,"F","2"
24,91.9,"F","2"
39,402.7,"F","3"
31,192.2,"M","2"
22,88.9,"M","2"
33,195.3,"M","2"
20,57.4,"F","1"
17,38.1,"M","1"
28,231.8,"F","1"
14,20.5,"M","4"
18,51.1,"F","3"
42,555.3,"F","3"
19,57.2,"F","3"
13,18.4,"F","2"
29,166.6,"M","4"
21,62.5,"M","2"
31,178.6,"M","4"
26,108.2,"F","3"
28,175.7,"F","1"
20,61.4,"F","3"
17,40.2,"F","4"
39,397.1,"M","4"
27,117.5,"F","2"
37,419.6,"M","2"
29,178.3,"M","1"
24,111,"F","1"
39,449.6,"F","2"
29,155.2,"M","4"
31,217.8,"M","1"
26,96.6,"F","3"
10,9.7,"M","4"
29,169.1,"F","2"
23,82.1,"M","3"
42,602.9,"F","1"
31,253,"M","2"
11,11.4,"M","3"
24,98.9,"F","4"
20,46.3,"M","2"
21,69.8,"M","1"
21,79,"F","1"
37,330.6,"M","3"
30,187.3,"M","3"
32,189.6,"F","4"
36,340.1,"M","4"
9,4.4,"M","1"
29,151.9,"F","3"
29,166.5,"F","1"
16,25.7,"M","2"
37,388,"F","4"
27,136.1,"M","3"
38,395.7,"M","4"
27,164.4,"M","2"
24,112.5,"F","3"
21,70.2,"F","3"
35,289.2,"M","3"
34,264.4,"M","3"
29,188.2,"M","2"
31,206.9,"M","1"
30,192.2,"F","3"
24,100.1,"M","2"
23,82.9,"M","4"
16,34,"M","1"
34,232.8,"F","1"
30,146.9,"M","4"
16,29.4,"M","4"
31,270,"M","2"
17,40.8,"M","3"
37,420.1,"F","2"
26,120.3,"F","1"
32,266,"M","1"
28,139.4,"M","3"
8,3.8,"M","3"
31,237.8,"F","4"
34,284.7,"F","4"
29,197,"M","1"
34,299.7,"M","2"
31,260.8,"F","1"
36,329.2,"F","2"
17,40.4,"F","4"
24,108.4,"F","4"
31,202.2,"F","1"
19,57.4,"F","2"
22,83.6,"M","2"
29,175.1,"M","2"
26,134.3,"F","1"
29,191.5,"M","1"
36,297.9,"M","3"
31,211.9,"M","3"
39,376.2,"F","2"
16,30.2,"F","2"
34,296.3,"F","3"
39,254.4,"F","4"
32,204.1,"M","2"
42,467.2,"M","4"
32,283.8,"F","3"
32,275.8,"F","3"
34,264,"M","2"
34,274.2,"M","4"
14,20.2,"F","4"
29,185.6,"M","4"
34,270.2,"M","2"
21,80.9,"M","1"
34,270.9,"F","2"
35,334,"F","4"
33,209.4,"M","2"
11,10,"F","3"
15,26.1,"M","3"
14,23.6,"M","1"
39,433.6,"F","4"
27,145.2,"M","2"
33,256,"F","4"
12,14,"M","3"
27,135.7,"M","3"
27,149.2,"F","2"
25,100.8,"M","1"
14,20.3,"F","2"
32,222.5,"M","2"
35,309,"F","3"
30,205.7,"F","3"
17,31.5,"F","1"
35,303.4,"M","4"
43,470.1,"M","2"
38,419.5,"F","2"
36,383.6,"F","1"
30,148.5,"F","2"
30,218.5,"F","3"
37,355.3,"F","4"
28,150.8,"F","3"
42,458.1,"M","3"
15,21.9,"M","1"
30,172.3,"M","1"
36,319.6,"F","3"
34,238,"M","1"
34,224.9,"F","3"
34,251.9,"F","4"
43,628.8,"M","4"
18,39,"F","3"
30,196.7,"M","1"
23,97.5,"M","2"
31,201.1,"M","4"
21,68.1,"F","4"
29,167.9,"F","1"
33,284.3,"M","2"
34,235.9,"M","2"
35,340.9,"F","3"
31,230.7,"F","1"
16,38.3,"F","4"
24,86.7,"M","2"
36,408.6,"F","1"
35,321.8,"F","2"
33,249.7,"M","4"
33,241.2,"F","2"
39,258.2,"F","2"
34,274.1,"M","2"
13,17.6,"M","2"
19,52.7,"F","2"
34,278.3,"M","3"
23,99.8,"M","4"
24,97.9,"M","4"
22,76.4,"M","1"
11,10.1,"F","3"
30,209.4,"M","2"
19,48.5,"F","1"
41,473.9,"F","4"
21,73.2,"F","2"
39,464.2,"F","4"
33,252.7,"F","1"
22,48.3,"M","1"
21,72.1,"F","1"
22,73.9,"M","4"
14,20.4,"M","2"
34,308.4,"M","4"
32,270.9,"F","1"
43,486.2,"M","4"
9,5.1,"M","4"
26,136.5,"F","3"
24,108.3,"M","3"
18,43.8,"F","2"
19,47.9,"F","3"
20,65.4,"M","4"
21,62.8,"M","2"
21,65.5,"F","1"
26,150.8,"M","2"
22,81.5,"M","3"
34,356.4,"F","4"
18,40.3,"M","4"
32,270.9,"M","1"
26,135,"F","4"
35,324,"F","3"
31,237.6,"M","1"
28,133.5,"F","4"
29,138.9,"M","3"
36,349.5,"F","3"
26,120.2,"M","4"
25,123.4,"M","3"
32,233.1,"M","1"
33,223.8,"M","3"
15,27.6,"M","2"
36,359.5,"F","4"
23,96.1,"M","4"
34,235,"M","2"
19,53.5,"M","1"
30,192.1,"M","4"
35,281.3,"F","4"
21,55.1,"M","4"
37,328.9,"F","1"
30,182.7,"M","3"
36,425.7,"M","2"
30,202.4,"M","1"
13,16.3,"F","3"
23,98.5,"M","1"
39,527.2,"F","2"
40,595.6,"F","3"
35,282,"M","1"
41,576.7,"M","1"
15,25.2,"M","1"
32,224,"F","3"
31,274.4,"M","3"
32,227.2,"M","3"
28,176.2,"M","3"
35,319.5,"M","2"
26,114.5,"M","3"
32,253.2,"M","3"
28,123.8,"F","2"
25,94.6,"M","3"
23,69.5,"F","2"
36,356.1,"M","3"
41,543.8,"M","1"
28,132.6,"M","1"
32,217.3,"M","1"
22,82.5,"F","3"
41,539.6,"M","3"
40,523.2,"M","3"
34,267.1,"F","1"
31,238.3,"F","1"
34,285.7,"M","3"
31,172.1,"F","4"
22,69.1,"M","1"
39,451.3,"F","3"
35,257.5,"M","4"
18,44.6,"M","4"
26,123.1,"F","2"
39,438.5,"F","1"
30,167.4,"M","4"
33,254.9,"M","4"
25,98,"F","4"
26,108.8,"M","1"
38,316.6,"M","3"
23,78.3,"M","1"
40,488,"F","1"
31,248.3,"F","2"
33,265.6,"M","2"
26,140.7,"M","1"
14,21.6,"M","1"
14,18,"F","3"
15,25.6,"M","1"
36,336,"F","4"
26,124.8,"F","4"
25,113.9,"F","3"
14,20,"F","2"
38,452.9,"M","4"
26,120.4,"F","3"
8,4.1,"M","2"
14,17.6,"F","1"
35,296,"M","3"
41,475,"F","4"
10,7,"F","1"
23,93.3,"F","1"
21,71.3,"M","1"
32,277.4,"F","4"
34,291.2,"M","4"
25,111.4,"F","1"
24,86.2,"M","3"
19,50.2,"M","4"
30,198.7,"M","2"
14,24.3,"F","3"
31,215,"M","4"
14,23.2,"M","3"
11,13.1,"F","2"
19,49.3,"F","1"
26,119.8,"F","1"
20,59.2,"F","4"
27,160.8,"F","1"
28,123,"M","1"
37,353.7,"M","3"
24,109.3,"M","4"
22,77.6,"F","3"
23,91.9,"F","2"
15,21.4,"F","1"
33,318.8,"F","1"
32,192.3,"M","2"
37,315.9,"F","1"
18,41.7,"M","2"
29,166.4,"M","4"
29,155.3,"M","3"
19,41.8,"F","2"
38,331,"F","3"
27,143.2,"F","4"
34,270,"F","3"
11,10.9,"F","1"
15,25.5,"M","4"
17,35.2,"M","2"
31,221.6,"F","4"
21,65.3,"F","4"
18,36.7,"M","2"
37,372.5,"F","2"
34,293,"F","1"
21,63.2,"F","3"
32,277,"F","2"
30,206.3,"M","1"
34,298.1,"M","1"
27,146.7,"M","4"
37,365.7,"M","4"
22,79.2,"M","4"
33,294.9,"F","1"
37,312.6,"M","2"
33,276.4,"M","3"
13,15.8,"F","1"
38,307.8,"M","3"
31,219.8,"M","3"
31,198.3,"M","3"
25,113.7,"M","3"
28,152.7,"F","4"
8,3.9,"M","1"
30,198,"F","1"
25,109.4,"F","2"
39,404.2,"M","1"
26,117.2,"M","2"
24,80.1,"F","1"
22,88.8,"M","4"
37,416.8,"F","2"
18,52.3,"M","1"
15,22.8,"F","1"
23,97.8,"F","3"
31,200.9,"M","3"
20,56.9,"M","3"
31,215.4,"M","1"
37,392.7,"M","4"
24,99.1,"M","2"
38,359.5,"F","1"
16,30.2,"M","4"
35,265.3,"F","4"
19,41.8,"M","1"
30,207.7,"F","3"
30,168.4,"F","3"
33,195.4,"M","4"
40,454.1,"F","4"
9,6.8,"M","4"
40,449.4,"M","2"
30,183.7,"F","1"
15,27.1,"F","2"
40,434.8,"M","4"
35,357.9,"M","4"
17,39.3,"M","3"
36,356.3,"M","1"
25,109.8,"M","2"
22,60.1,"M","2"
28,126.1,"F","3"
34,319.1,"F","2"
31,236.5,"M","3"
39,412.8,"M","4"
31,217.3,"M","2"
31,202.9,"F","1"
31,235.7,"M","1"
33,232.8,"F","2"
38,384.6,"F","2"
34,268.1,"M","2"
22,83.5,"M","2"
40,427.9,"F","1"
37,388.6,"M","2"
28,145.2,"F","2"
41,504.4,"F","2"
31,194.3,"F","4"
36,303.8,"M","2"
